"Scenario","N","P","Rho","Model","Mean_RMSE","SD_RMSE","QRMSE_90","ERisk","TopOne"
"S2",75,9,0.2,"RF",2.27241100286412,0.0860590158203676,2.3797793786335,0.473766571211944,0
"S2",75,9,0.2,"XGB",2.1784146674412,0.0902966562686064,2.29604673984348,0.379770235789022,0
"S2",150,9,0.2,"OLS",1.81398155156688,0.0344069325540821,1.85917850480268,0.0116618192844438,0.232
"S2",150,9,0.2,"Ridge",1.81681329322527,0.0342754552256624,1.86285819007192,0.0144935609428293,0.044
"S2",150,9,0.2,"LASSO",1.80668098322179,0.0355783156623882,1.85694197063119,0.00436125093935061,0.502
"S2",150,9,0.2,"ENet",1.80880781888296,0.0355729453996339,1.85685068688025,0.00648808660052423,0.22
"S2",150,9,0.2,"BART",1.96440826090913,0.0642789576056367,2.04729028070106,0.162088528626692,0.002
"S2",150,9,0.2,"RF",2.11450275483063,0.0616648987309159,2.19812735549951,0.312183022548185,0
"S2",150,9,0.2,"XGB",1.98297477339959,0.0521946485180158,2.04877186154338,0.180655041117149,0
"S2",500,9,0.2,"OLS",1.76582009964692,0.0168945290932475,1.78788351345922,-0.0361641165625111,0.11
"S2",500,9,0.2,"Ridge",1.7731424035029,0.0184044270964111,1.79703539719007,-0.0288418127065299,0.006
"S2",500,9,0.2,"LASSO",1.76342806750492,0.0170574618532012,1.78663334734839,-0.0385561487045088,0.182
"S2",500,9,0.2,"ENet",1.76397651944713,0.0170128079399129,1.78720587566199,-0.0380076967623007,0.07
"S2",500,9,0.2,"BART",1.78169225671707,0.029597110119444,1.81700719424469,-0.0202919594923586,0.132
"S2",500,9,0.2,"RF",1.90030318761306,0.0346155589761229,1.94311041493145,0.098318971403636,0
"S2",500,9,0.2,"XGB",1.75758466230942,0.0247431328618545,1.78727466355664,-0.0443995539000126,0.5
"S2",35,9,0.6,"OLS",2.20665269216587,0.16954184820488,2.42756936162589,0.405210762680482,0.168
"S2",35,9,0.6,"Ridge",2.16763795793768,0.16069624978991,2.38413448801779,0.366196028452297,0.18
"S2",35,9,0.6,"LASSO",2.15325252238088,0.165421719266516,2.36340570326707,0.351810592895491,0.296
"S2",35,9,0.6,"ENet",2.14901917328426,0.155546465317885,2.33228623131854,0.34757724379887,0.23
"S2",35,9,0.6,"BART",2.29091592178984,0.143570635328453,2.48880991182678,0.489473992304448,0.056
"S2",35,9,0.6,"RF",2.28964580187164,0.132067122288665,2.4645369114559,0.488203872386255,0.046
"S2",35,9,0.6,"XGB",2.36206653393455,0.166057058337279,2.58210993833245,0.560624604449162,0.024
"S2",75,9,0.6,"OLS",2.01307251563627,0.0820619749720855,2.12289272528753,0.20931142312385,0.154
"S2",75,9,0.6,"Ridge",2.00555454559345,0.0818869902827911,2.10477818769049,0.201793453081025,0.098
